updated,,,,votes,,,,,,,candidate,,,,,party,percentage
10 p.m April 4,2,2,1,"15,480",,1,1,0,0,Mayor,Lisa Calderón,104027,1510,163,0,,14.88%
,2,2,2,749,,2,1,0,0,Mayor,Trinidad Rodriguez,104027,1510,163,0,,0.72%
,2,2,3,490,,3,1,0,0,Mayor,Aurelio Martinez,104027,1510,163,0,,0.47%
,2,2,4,"1,126",,4,1,0,0,Mayor,Thomas Wolf,104027,1510,163,0,,1.08%
,2,2,5,492,,5,1,0,0,Mayor,Al Gardner,104027,1510,163,0,,0.47%
,2,2,6,956,,6,1,0,0,Mayor,Terrance Roberts,104027,1510,163,0,,0.92%
,2,2,8,119,,8,1,0,0,Mayor,Renate Behrens,104027,1510,163,0,,0.11%
,2,2,9,"5,504",,9,1,0,0,Mayor,Chris Hansen,104027,1510,163,0,,5.29%
,2,2,10,"25,656",,10,1,0,0,Mayor,Mike Johnston,104027,1510,163,0,,24.66%
,2,2,11,453,,11,1,0,0,Mayor,James Walsh,104027,1510,163,0,,0.44%
,2,2,12,"1,315",,12,1,0,0,Mayor,Ean Thomas Tafoya,104027,1510,163,0,,1.26%
,2,2,13,"13,627",,13,1,0,0,Mayor,Andy Rougeot,104027,1510,163,0,,13.10%
,2,2,14,"9,735",,14,1,0,0,Mayor,Leslie Herod,104027,1510,163,0,,9.36%
,2,2,15,106,,15,1,0,0,Mayor,Robert Treta,104027,1510,163,0,,0.10%
,2,2,16,"4,838",,16,1,0,0,Mayor,"Deborah ""Debbie"" Ortega",104027,1510,163,0,,4.65%
,2,2,17,"23,362",,17,1,0,0,Mayor,Kelly Brough,104027,1510,163,0,,22.46%
,2,2,18,19,,,1,0,1,Mayor,Write-in,104027,1510,163,0,,0.02%
