updated,,,,votes,,,,,,,candidate,,,,,party,percentage
5 p.m. April 5,2,2,1,"25,956",,1,1,0,0,Mayor,Lisa Calderón,149438,2072,201,0,,17.37%
,2,2,2,"1,048",,2,1,0,0,Mayor,Trinidad Rodriguez,149438,2072,201,0,,0.70%
,2,2,3,676,,3,1,0,0,Mayor,Aurelio Martinez,149438,2072,201,0,,0.45%
,2,2,4,"1,534",,4,1,0,0,Mayor,Thomas Wolf,149438,2072,201,0,,1.03%
,2,2,5,639,,5,1,0,0,Mayor,Al Gardner,149438,2072,201,0,,0.43%
,2,2,6,"1,434",,6,1,0,0,Mayor,Terrance Roberts,149438,2072,201,0,,0.96%
,2,2,8,162,,8,1,0,0,Mayor,Renate Behrens,149438,2072,201,0,,0.11%
,2,2,9,"7,364",,9,1,0,0,Mayor,Chris Hansen,149438,2072,201,0,,4.93%
,2,2,10,"36,622",,10,1,0,0,Mayor,Mike Johnston,149438,2072,201,0,,24.51%
,2,2,11,617,,11,1,0,0,Mayor,James Walsh,149438,2072,201,0,,0.41%
,2,2,12,"2,244",,12,1,0,0,Mayor,Ean Thomas Tafoya,149438,2072,201,0,,1.50%
,2,2,13,"17,900",,13,1,0,0,Mayor,Andy Rougeot,149438,2072,201,0,,11.98%
,2,2,14,"15,443",,14,1,0,0,Mayor,Leslie Herod,149438,2072,201,0,,10.33%
,2,2,15,145,,15,1,0,0,Mayor,Robert Treta,149438,2072,201,0,,0.10%
,2,2,16,"6,771",,16,1,0,0,Mayor,"Deborah ""Debbie"" Ortega",149438,2072,201,0,,4.53%
,2,2,17,"30,850",,17,1,0,0,Mayor,Kelly Brough,149438,2072,201,0,,20.64%
,2,2,18,33,,,1,0,1,Mayor,Write-in,149438,2072,201,0,,0.02%
